NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte
"800,135,532",ASESORES DE SISTEMAS ESPECIALIZADOS EN SOFTWARE SAS ASESOFTWARE SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"6,202",SERVICIOS,$0.07,$0.00,$0.03,$0.02,$0.01,"2,022"
"900,316,995",CONVALLE CONSTRUCTORA SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,"4,111",CONSTRUCCIÓN,$0.07,$0.00,$0.10,$0.09,$0.01,"2,022"
"860,522,931",EASYCLEAN GYE S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"8,121",SERVICIOS,$0.07,$0.00,$0.03,$0.02,$0.02,"2,022"
"800,002,482",VARIADORES SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"4,659",COMERCIO,$0.07,$0.01,$0.06,$0.04,$0.02,"2,022"
"800,163,265",COMPANIA DE SERVICIOS DE VIGILANCIA PRIVADA PORTILLA Y PORTILLA LTDA,SUPERVIGILANCIA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"8,010",SERVICIOS,$0.07,$0.01,$0.03,$0.02,$0.01,"2,022"
"800,173,410",SIGMA SAS,SUPERSOCIEDADES,Centro - Oriente,NORTE DE SANTANDER,CUCUTA-NORTE DE SANTANDER,"4,112",CONSTRUCCIÓN,$0.07,$0.05,$0.10,$0.01,$0.09,"2,022"
"901,435,143",IC PREMIUM S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"4,662",COMERCIO,$0.07,$0.00,$0.00,$0.00,$0.00,"2,022"
"890,927,276",MEJIA ACEVEDO S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,"4,220",CONSTRUCCIÓN,$0.07,$0.00,$0.03,$0.01,$0.02,"2,022"
"900,018,481",PEI ASSET MANAGEMENT S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"6,810",SERVICIOS,$0.07,$0.03,$0.11,$0.05,$0.06,"2,022"
"900,426,153",ARITMETIKA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"6,613",SERVICIOS,$0.07,$0.01,$0.18,$0.16,$0.02,"2,022"
"806,001,147",DISTRIBUCIONES VICTOR PIÑEROS MARTINEZ SAS,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,"4,731",COMERCIO,$0.07,$0.00,$0.01,$0.01,$0.01,"2,022"
"830,075,976",TYCO SERVICES S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"4,690",COMERCIO,$0.07,-$0.01,$0.11,$0.13,-$0.02,"2,022"
"900,569,874",SEVEN PHARMA COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"4,645",COMERCIO,$0.07,-$0.01,$0.07,$0.08,-$0.01,"2,022"
"890,901,218",TIENDAS DE ROPA INTIMA S.A,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,SABANETA -ANTIOQUIA,"4,771",COMERCIO,$0.07,$0.01,$0.03,$0.01,$0.02,"2,022"
"890,704,858",PRAXEDIS DE ARTUNDUAGA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"1,410",MANUFACTURA,$0.07,$0.01,$0.06,$0.02,$0.03,"2,022"
"811,022,882",TECNOLOGÍAS ALIMENTICIAS S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"1,089",MANUFACTURA,$0.07,$0.00,$0.04,$0.03,$0.01,"2,022"
"900,555,485",TECNOLOGIA PLASTICA TECNOSA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,MADRID-CUNDINAMARCA,"2,229",MANUFACTURA,$0.07,$0.00,$0.02,$0.02,$0.01,"2,022"
"830,028,213",QUIMICOS OMA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA -CUNDINAMARCA,"2,021",MANUFACTURA,$0.07,$0.00,$0.07,$0.03,$0.03,"2,022"
"900,403,279",IZZEN SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"8,299",SERVICIOS,$0.07,$0.07,$0.25,$0.11,$0.14,"2,022"
"890,930,448",DIVERTRONICA MEDELLIN S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,"9,321",SERVICIOS,$0.07,$0.01,$0.11,$0.09,$0.02,"2,022"
"811,000,340",LABORATORIOS FUNAT SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,SABANETA -ANTIOQUIA,"2,100",MANUFACTURA,$0.07,$0.00,$0.04,$0.03,$0.01,"2,022"
"860,527,377",GENERAL MEDICA DE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"4,659",COMERCIO,$0.07,$0.00,$0.07,$0.05,$0.03,"2,022"
"800,006,150",EMPRESA COOPERATIVA DE SERVICIOS DE SALUD EMCOSALUD,SUPERSALUD,Otros,HUILA,NEIVA-HUILA,"8,621",SERVICIOS,$0.07,$0.00,$0.11,$0.06,$0.06,"2,022"
"860,002,519",ALLIANZ COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"7,010",SERVICIOS,$0.07,$0.06,$0.49,$0.00,$0.49,"2,022"
"860,004,902",PROVEEDORA DE PAPELES ANDINA S.A.S.,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,"4,669",COMERCIO,$0.07,$0.01,$0.06,$0.04,$0.02,"2,022"
"800,119,647",PETROCASINOS S.A.,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,"5,629",SERVICIOS,$0.07,$0.00,$0.06,$0.02,$0.03,"2,022"
"900,582,129",RED HAT COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"7,490",SERVICIOS,$0.07,$0.00,$0.06,$0.05,$0.01,"2,022"
"801,001,885",LEON AGUILERA S.A,SUPERSOCIEDADES,Otros,HUILA,PITALITO-HUILA,"4,111",CONSTRUCCIÓN,$0.07,$0.01,$0.16,$0.13,$0.04,"2,022"
"805,001,194",ABBOTT RAPID DIAGNOSTICS COLOMBIA S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"4,645",COMERCIO,$0.07,$0.00,$0.10,$0.04,$0.06,"2,022"
